                  epoch,        train/giou_loss,         train/cls_loss,          train/l1_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),       metrics/mAP75(B),       metrics/mAP90(B),    metrics/mAP50-95(B),          val/giou_loss,           val/cls_loss,            val/l1_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.0984,                0.34661,                 1.2849,                0.67953,                0.01333,                 0.0022,                0.00119,                      0,                0.00099,                  3.077,                0.22728,                  1.374,               0.066741,             3.3292e-05,             3.3292e-05
                      2,                 2.8646,                0.23155,                 1.1966,                0.40266,                0.09778,                0.03316,                0.00111,                      0,                0.00834,                 2.1457,                0.32182,                0.96755,                0.03344,              6.596e-05,              6.596e-05
                      3,                 1.6708,                 0.5822,                0.57986,                 0.4171,                0.21513,                0.09098,                0.01583,                  2e-05,                 0.0321,                  1.325,                0.79674,                0.43378,             0.00013901,             9.7962e-05,             9.7962e-05
                      4,                 1.3868,                0.76224,                0.48935,                0.15879,                0.29763,                0.14824,                0.01478,                0.00012,                0.04518,                 1.0883,                0.88125,                0.41236,             9.7003e-05,             9.7003e-05,             9.7003e-05
                      5,                 1.2385,                0.84318,                 0.4261,                0.13375,                0.38152,                0.13674,                0.02383,                0.00039,                0.04896,                 0.9558,                0.98512,                0.35806,             9.7003e-05,             9.7003e-05,             9.7003e-05
                      6,                 1.1523,                0.87053,                0.38482,                 0.4729,                0.30214,                 0.1471,                0.04581,                0.00193,                0.06375,                0.89637,                 1.0285,                0.31806,             9.6004e-05,             9.6004e-05,             9.6004e-05
                      7,                 1.0808,                0.89711,                0.34873,                0.50969,                0.27419,                 0.1826,                0.06515,                0.00247,                0.08311,                 0.8631,                0.97555,                0.29612,             9.5005e-05,             9.5005e-05,             9.5005e-05
                      8,                 1.0149,                0.94814,                0.31995,                0.21604,                0.31591,                0.20564,                 0.0389,                0.00066,                0.08084,                0.83415,                 1.0091,                0.29506,             9.4006e-05,             9.4006e-05,             9.4006e-05
                      9,                0.96405,                0.95246,                0.30212,                0.19449,                0.34845,                0.18263,                0.04341,                0.00105,                0.07046,                0.85885,                0.96933,                0.32642,             9.3007e-05,             9.3007e-05,             9.3007e-05
                     10,                0.95741,                0.92119,                0.28705,                0.49791,                0.32107,                0.26761,                0.12227,                0.00445,                 0.1298,                0.79681,                0.94926,                0.27121,             9.2008e-05,             9.2008e-05,             9.2008e-05
