                  epoch,        train/giou_loss,         train/cls_loss,          train/l1_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),       metrics/mAP75(B),       metrics/mAP90(B),    metrics/mAP50-95(B),          val/giou_loss,           val/cls_loss,            val/l1_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.0482,                0.33619,                 1.2796,                0.69455,                0.07556,                0.01772,                0.00216,                      0,                 0.0034,                 2.8942,                0.31522,                    1.3,               0.066741,             3.3292e-05,             3.3292e-05
                      2,                 2.3814,                 0.3801,                 0.9507,                0.46908,                0.17897,                0.10455,                 0.0068,                0.00033,                0.02857,                 1.6012,                0.56657,                 0.5406,                0.03344,              6.596e-05,              6.596e-05
                      3,                 1.6898,                0.55549,                0.55739,                0.48899,                0.21365,                0.11331,                0.01072,                  7e-05,                0.03357,                 1.3403,                0.72945,                0.42925,             0.00013901,             9.7962e-05,             9.7962e-05
                      4,                 1.4182,                0.69886,                0.49483,                0.17665,                0.32139,                0.15462,                0.03638,                0.00117,                0.05797,                 1.1401,                0.83305,                0.37802,             9.7003e-05,             9.7003e-05,             9.7003e-05
                      5,                  1.289,                0.77453,                0.41685,                0.47554,                0.28752,                0.16512,                 0.0494,                 0.0011,                0.06947,                 1.0178,                0.88392,                0.32831,             9.7003e-05,             9.7003e-05,             9.7003e-05
                      6,                 1.1651,                0.81553,                0.34723,                0.19546,                0.35077,                0.19448,                0.05722,                0.00209,                0.08207,                 0.9885,                0.91702,                0.31471,             9.6004e-05,             9.6004e-05,             9.6004e-05
                      7,                 1.0791,                0.84981,                0.31866,                0.21732,                0.36517,                0.21586,                0.07576,                0.00454,                0.09809,                0.94909,                0.84012,                0.29521,             9.5005e-05,             9.5005e-05,             9.5005e-05
                      8,                 1.0399,                 0.8571,                0.30465,                0.25499,                0.40211,                0.25459,                0.09666,                 0.0038,                 0.1182,                0.86524,                0.88909,                0.25881,             9.4006e-05,             9.4006e-05,             9.4006e-05
                      9,                0.97648,                0.87414,                0.28493,                0.26095,                0.42384,                0.25579,                 0.0933,                0.00435,                0.11514,                0.86281,                 0.8607,                0.28842,             9.3007e-05,             9.3007e-05,             9.3007e-05
                     10,                0.94817,                0.86646,                0.26732,                0.26151,                0.45322,                0.29352,                0.07242,                0.00219,                0.12068,                0.84955,                0.87385,                0.26109,             9.2008e-05,             9.2008e-05,             9.2008e-05
                     11,                 0.9338,                0.84668,                  0.258,                0.32758,                0.47019,                0.35066,                0.17725,                0.01288,                0.18029,                0.77169,                0.87561,                0.23794,             9.1009e-05,             9.1009e-05,             9.1009e-05
                     12,                0.90266,                0.85151,                0.24535,                0.33728,                0.48354,                 0.3515,                0.17278,                0.01505,                0.18079,                0.76419,                0.86254,                0.23143,              9.001e-05,              9.001e-05,              9.001e-05
                     13,                0.88969,                0.83561,                0.23966,                0.54831,                0.38451,                0.40656,                 0.1877,                0.02117,                0.21163,                 0.7823,                0.83169,                0.23063,             8.9011e-05,             8.9011e-05,             8.9011e-05
                     14,                0.86553,                0.81993,                0.24141,                0.40918,                0.51561,                0.44478,                0.22935,                0.02214,                0.23786,                0.77601,                0.76678,                0.24031,             8.8012e-05,             8.8012e-05,             8.8012e-05
                     15,                0.87536,                0.81049,                0.24146,                0.40342,                0.51542,                0.45319,                0.23859,                0.01944,                0.24874,                0.73161,                0.81258,                0.21552,             8.7013e-05,             8.7013e-05,             8.7013e-05
                     16,                0.86275,                0.78315,                0.23843,                0.59575,                0.46127,                0.51468,                0.24419,                0.01434,                0.26629,                0.77728,                 0.7437,                0.23234,             8.6014e-05,             8.6014e-05,             8.6014e-05
                     17,                0.86157,                0.73398,                 0.2284,                0.54252,                0.54839,                0.53617,                0.27951,                0.01745,                0.29074,                0.75868,                0.68053,                0.23351,             8.5015e-05,             8.5015e-05,             8.5015e-05
                     18,                0.84681,                0.71803,                0.22949,                0.79292,                0.49487,                0.58505,                0.37593,                0.02788,                0.33932,                0.74282,                0.65806,                0.22404,             8.4016e-05,             8.4016e-05,             8.4016e-05
                     19,                0.83853,                0.69763,                0.23485,                0.54626,                0.58903,                0.57521,                0.34817,                0.01871,                0.32816,                 0.7143,                0.64852,                0.22598,             8.3017e-05,             8.3017e-05,             8.3017e-05
                     20,                 0.8299,                0.67929,                0.22702,                0.86519,                0.50085,                0.58413,                0.31877,                0.01697,                0.31724,                0.73884,                0.63293,                0.22721,             8.2018e-05,             8.2018e-05,             8.2018e-05
                     21,                 0.8132,                0.66425,                0.22603,                 0.6028,                0.60093,                0.61756,                0.42191,                 0.0451,                0.38008,                0.67705,                0.61045,                0.21189,             8.1019e-05,             8.1019e-05,             8.1019e-05
                     22,                0.82871,                0.63177,                 0.2282,                0.58761,                0.63797,                0.63322,                0.43173,                0.05185,                 0.3859,                0.68249,                0.57778,                0.20399,              8.002e-05,              8.002e-05,              8.002e-05
                     23,                0.80082,                0.63663,                0.21502,                0.58218,                 0.6244,                0.61763,                 0.3713,                0.01425,                0.34771,                0.71598,                0.59133,                0.25393,             7.9021e-05,             7.9021e-05,             7.9021e-05
                     24,                 0.7881,                0.61726,                0.21628,                0.62078,                0.61986,                0.63364,                0.42395,                0.05723,                0.38935,                0.67064,                0.55536,                0.20455,             7.8022e-05,             7.8022e-05,             7.8022e-05
                     25,                0.79319,                0.61744,                0.21722,                0.62084,                0.63852,                0.65073,                0.43444,                 0.0664,                0.39283,                 0.6589,                0.57324,                0.20561,             7.7023e-05,             7.7023e-05,             7.7023e-05
