                  epoch,        train/giou_loss,         train/cls_loss,          train/l1_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),       metrics/mAP75(B),       metrics/mAP90(B),    metrics/mAP50-95(B),          val/giou_loss,           val/cls_loss,            val/l1_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7275,                0.36701,                 1.1435,                0.00037,                0.08542,                0.00042,                  1e-05,                      0,                  9e-05,                 1.6246,                0.32166,                 1.3378,               0.066741,             3.3292e-05,             3.3292e-05
                      2,                 1.6565,                0.27064,                 1.0861,                0.38698,                0.12889,                0.04124,                0.00185,                      0,                0.00906,                 1.5314,                0.30958,                 1.3548,               0.033441,             6.6626e-05,             6.6626e-05
                      3,                 1.5221,                0.35687,                0.97648,                0.18098,                0.24906,                0.10898,                0.00393,                 0.0001,                0.02579,                 1.2677,                0.45841,                0.94995,             0.00014101,             9.9959e-05,             9.9959e-05
                      4,                   1.29,                0.52679,                0.65734,                0.22157,                0.41459,                0.23834,                 0.0348,                0.00013,                0.07885,                0.87508,                0.75637,                0.45706,                 0.0001,                 0.0001,                 0.0001
                      5,                  1.143,                 0.6637,                0.51554,                0.24337,                0.44757,                0.26431,                0.05455,                0.00359,                0.09491,                0.77213,                0.88973,                0.33972,                 0.0001,                 0.0001,                 0.0001
                      6,                 1.0931,                0.70851,                0.47189,                0.39491,                0.31831,                0.28164,                0.05749,                0.00029,                0.10215,                0.74709,                0.91716,                0.31608,                 0.0001,                 0.0001,                 0.0001
                      7,                 1.0147,                0.75379,                0.42208,                 0.3942,                0.32415,                0.28397,                0.09205,                0.00517,                0.11942,                0.68434,                0.91866,                0.27708,                 0.0001,                 0.0001,                 0.0001
                      8,                0.96205,                0.80799,                0.37457,                 0.4582,                0.35963,                0.34915,                0.08439,                0.00071,                0.14167,                0.66117,                0.93842,                0.26633,                 0.0001,                 0.0001,                 0.0001
                      9,                0.92796,                0.81854,                0.34277,                0.42464,                0.35326,                0.32994,                0.09623,                 0.0023,                0.14005,                0.66035,                0.92616,                0.25866,                 0.0001,                 0.0001,                 0.0001
                     10,                  0.878,                0.85518,                0.31598,                0.37366,                0.42532,                0.33386,                0.08465,                0.00303,                0.12944,                0.63812,                0.96431,                0.23652,                 0.0001,                 0.0001,                 0.0001
                     11,                0.89195,                0.82848,                0.31015,                0.49754,                 0.4105,                0.37607,                0.13285,                0.00303,                0.17006,                0.65328,                0.89123,                 0.2476,                 0.0001,                 0.0001,                 0.0001
                     12,                0.86236,                0.82957,                0.29165,                0.53525,                0.42729,                0.42363,                0.13775,                0.00311,                0.18157,                0.62893,                0.88998,                0.25085,                 0.0001,                 0.0001,                 0.0001
                     13,                0.83628,                0.83651,                0.28503,                0.40671,                0.46613,                0.42665,                0.14884,                0.00535,                0.20402,                0.60809,                 0.8768,                0.23808,                 0.0001,                 0.0001,                 0.0001
                     14,                0.82979,                0.82501,                0.27652,                0.41423,                0.49559,                0.42136,                0.16449,                0.00672,                0.19548,                0.60619,                0.85194,                0.23862,                 0.0001,                 0.0001,                 0.0001
                     15,                0.80536,                0.83889,                0.27446,                0.47667,                0.42956,                 0.4435,                0.16389,                0.01014,                0.21577,                0.61191,                 0.8471,                0.24417,                 0.0001,                 0.0001,                 0.0001
                     16,                0.81591,                 0.8198,                0.26536,                0.52624,                0.46145,                0.46517,                0.25161,                0.01927,                0.25099,                0.57527,                0.83333,                0.22258,                 0.0001,                 0.0001,                 0.0001
                     17,                  0.782,                0.82604,                 0.2524,                0.45264,                0.49198,                0.47761,                0.20973,                0.01181,                0.23774,                0.59727,                 0.8102,                 0.2263,                 0.0001,                 0.0001,                 0.0001
                     18,                0.80877,                0.79546,                0.25111,                 0.4518,                0.55718,                0.48235,                0.21275,                0.00771,                0.23992,                0.59433,                0.80317,                0.23202,                 0.0001,                 0.0001,                 0.0001
                     19,                0.78977,                0.80893,                0.24571,                0.52045,                0.54302,                0.51836,                 0.2831,                0.01182,                0.27565,                0.57108,                0.80013,                 0.2191,                 0.0001,                 0.0001,                 0.0001
                     20,                0.77429,                0.80197,                0.24608,                0.50478,                0.57137,                0.53907,                0.25927,                0.01887,                0.28562,                0.56932,                0.77799,                0.22336,                 0.0001,                 0.0001,                 0.0001
                     21,                0.76868,                0.78381,                0.24371,                0.45988,                 0.5791,                0.54004,                0.28141,                 0.0208,                0.28728,                0.55963,                0.77712,                0.21467,                 0.0001,                 0.0001,                 0.0001
                     22,                0.75502,                0.78566,                0.23959,                0.55381,                0.58596,                0.56559,                0.29839,                0.02849,                0.31351,                 0.5613,                0.73778,                0.22811,                 0.0001,                 0.0001,                 0.0001
                     23,                0.76846,                0.77307,                0.23515,                0.53427,                0.58277,                0.58451,                0.29235,                0.01372,                0.30925,                 0.5686,                0.73039,                 0.2206,                 0.0001,                 0.0001,                 0.0001
                     24,                 0.7594,                0.75833,                0.24567,                 0.4674,                0.60563,                 0.5928,                0.36945,                0.04455,                 0.3451,                0.55042,                0.70465,                  0.213,                 0.0001,                 0.0001,                 0.0001
                     25,                0.74977,                0.75163,                0.24112,                0.47485,                0.62177,                0.60214,                0.35892,                0.01259,                 0.3466,                   0.55,                0.70313,                0.21481,                 0.0001,                 0.0001,                 0.0001
                     26,                0.74431,                0.74504,                0.23839,                0.60533,                0.55213,                0.61404,                0.37134,                0.05124,                0.35039,                 0.5585,                0.67072,                0.22315,                 0.0001,                 0.0001,                 0.0001
                     27,                0.73814,                0.74931,                0.23624,                0.55029,                0.62647,                0.62846,                 0.3789,                0.02906,                  0.367,                 0.5418,                0.68479,                0.21701,                 0.0001,                 0.0001,                 0.0001
                     28,                0.73447,                0.73712,                0.22833,                0.54598,                0.60545,                0.61744,                0.34371,                0.03149,                0.34155,                0.56218,                 0.6649,                0.21496,                 0.0001,                 0.0001,                 0.0001
                     29,                0.73351,                0.72259,                0.22711,                 0.5076,                0.64049,                0.63164,                0.39448,                0.04288,                0.37356,                0.54724,                0.65001,                0.21907,                 0.0001,                 0.0001,                 0.0001
                     30,                0.74676,                  0.734,                0.24532,                0.62189,                0.61288,                0.63773,                0.34453,                0.03625,                0.34518,                0.56135,                0.67125,                0.22007,                 0.0001,                 0.0001,                 0.0001
                     31,                0.72827,                0.73156,                0.22731,                0.58904,                0.65235,                0.65666,                0.40264,                0.02637,                0.37888,                0.54069,                0.62335,                0.21395,                 0.0001,                 0.0001,                 0.0001
                     32,                0.71861,                0.71312,                0.22239,                0.60626,                0.64704,                0.66695,                0.43465,                0.04631,                0.39531,                0.53705,                0.61003,                0.22365,                 0.0001,                 0.0001,                 0.0001
                     33,                0.72762,                0.71193,                 0.2233,                0.55531,                0.66409,                0.66977,                0.44545,                0.06704,                0.40328,                0.52647,                0.59997,                0.20359,                 0.0001,                 0.0001,                 0.0001
                     34,                0.69555,                0.71712,                0.21855,                0.62893,                0.63409,                0.66956,                 0.4475,                0.04191,                0.40137,                0.53294,                 0.5987,                0.20309,                 0.0001,                 0.0001,                 0.0001
                     35,                0.69502,                0.71023,                0.22393,                0.61099,                0.64115,                0.66845,                0.40436,                0.02462,                0.38764,                 0.5462,                 0.6205,                0.22201,                 0.0001,                 0.0001,                 0.0001
                     36,                0.70477,                0.71546,                0.21772,                0.65214,                0.64059,                0.67702,                0.43682,                0.03788,                0.40041,                0.52148,                0.59506,                0.19588,                 0.0001,                 0.0001,                 0.0001
                     37,                0.70883,                0.71385,                0.21892,                0.70279,                0.64656,                0.68467,                0.45702,                0.04347,                0.41247,                 0.5151,                0.58106,                 0.2025,                 0.0001,                 0.0001,                 0.0001
                     38,                0.69395,                 0.7113,                0.21873,                0.63734,                0.64898,                0.68709,                0.43107,                0.04263,                0.40738,                0.52097,                0.59249,                0.20294,                 0.0001,                 0.0001,                 0.0001
                     39,                0.69989,                0.70736,                0.22359,                0.58543,                0.65211,                0.69072,                0.42651,                0.02899,                 0.4042,                0.50879,                0.62114,                0.19871,                 0.0001,                 0.0001,                 0.0001
                     40,                0.68601,                0.70313,                0.20945,                   0.65,                0.64551,                0.67427,                0.44793,                0.07253,                0.41568,                 0.5052,                0.59467,                 0.1861,                 0.0001,                 0.0001,                 0.0001
                     41,                0.69327,                0.69206,                0.21525,                 0.6527,                0.65572,                0.68797,                0.47857,                0.07435,                0.43341,                0.49703,                0.57651,                 0.1913,                 0.0001,                 0.0001,                 0.0001
                     42,                0.68053,                0.70614,                 0.2066,                 0.6873,                0.66508,                0.69814,                0.44243,                0.06106,                0.42196,                0.49911,                0.58677,                0.18883,                 0.0001,                 0.0001,                 0.0001
                     43,                0.68696,                0.68256,                0.20522,                0.66802,                0.65964,                0.70274,                0.47698,                0.05614,                0.42907,                0.50395,                0.58151,                0.19277,                 0.0001,                 0.0001,                 0.0001
                     44,                0.66927,                0.69025,                0.21074,                0.65617,                 0.6743,                0.70183,                0.48024,                0.08551,                0.44001,                0.50765,                0.56409,                0.20041,                 0.0001,                 0.0001,                 0.0001
                     45,                 0.6919,                0.69035,                0.20706,                0.67768,                0.67126,                0.70601,                 0.4855,                0.05343,                0.43547,                0.49534,                0.56553,                0.18828,                 0.0001,                 0.0001,                 0.0001
