                  epoch,        train/giou_loss,         train/cls_loss,          train/l1_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),       metrics/mAP75(B),       metrics/mAP90(B),    metrics/mAP50-95(B),          val/giou_loss,           val/cls_loss,            val/l1_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7125,                0.35966,                 1.1435,                0.33464,                0.04222,                 0.0022,                  2e-05,                      0,                0.00037,                 1.6415,                0.37473,                 1.3375,               0.066741,             3.3292e-05,             3.3292e-05
                      2,                 1.6144,                0.27718,                 1.0554,                0.07333,                0.11543,                 0.0337,                0.00191,                      0,                0.00855,                 1.4234,                0.38134,                 1.0808,               0.033441,             6.6626e-05,             6.6626e-05
                      3,                 1.3359,                0.53475,                0.69013,                0.29896,                0.29651,                0.14972,                0.01872,                  3e-05,                0.04622,                0.83941,                0.88937,                0.38515,             0.00014101,             9.9959e-05,             9.9959e-05
                      4,                 1.1141,                0.75655,                0.46913,                0.09307,                0.26726,                0.10329,                0.01691,                0.00013,                0.03329,                0.73411,                 1.0775,                0.30701,                 0.0001,                 0.0001,                 0.0001
                      5,                 1.0404,                0.81745,                0.41503,                0.19549,                0.35055,                0.19859,                0.03262,                0.00016,                0.06903,                0.70155,                  1.042,                0.27941,                 0.0001,                 0.0001,                 0.0001
                      6,                0.99275,                0.82534,                0.37375,                0.23565,                0.37823,                0.24657,                0.03553,                  6e-05,                0.08709,                0.71149,                0.97229,                0.29824,                 0.0001,                 0.0001,                 0.0001
                      7,                0.94772,                0.83934,                0.34922,                0.26093,                0.37531,                0.25179,                0.07105,                0.00106,                0.09877,                0.66395,                0.96775,                 0.2624,                 0.0001,                 0.0001,                 0.0001
                      8,                0.92983,                0.86539,                0.33611,                 0.3961,                0.34735,                 0.2545,                0.07404,                0.00247,                0.10439,                0.65444,                0.99226,                0.27842,                 0.0001,                 0.0001,                 0.0001
                      9,                0.90597,                0.85961,                 0.3263,                0.36384,                0.35644,                0.29618,                 0.0664,                0.00133,                0.11338,                0.65949,                0.97395,                0.26626,                 0.0001,                 0.0001,                 0.0001
                     10,                0.86613,                0.88428,                0.30993,                0.38577,                0.38172,                0.31242,                0.10905,                0.00378,                0.14207,                0.60856,                0.99508,                0.24153,                 0.0001,                 0.0001,                 0.0001
                     11,                0.87241,                0.84459,                0.30465,                 0.3836,                0.43689,                0.35967,                0.12713,                0.00135,                0.16307,                0.61875,                0.93194,                0.24528,                 0.0001,                 0.0001,                 0.0001
                     12,                0.85637,                 0.8414,                 0.2911,                0.24736,                0.51024,                0.32275,                0.10364,                0.00125,                0.13975,                0.62219,                0.98467,                0.24002,                 0.0001,                 0.0001,                 0.0001
                     13,                0.85633,                0.83399,                0.29856,                0.41074,                 0.4593,                0.38301,                0.14713,                 0.0072,                0.17902,                0.63058,                0.86999,                0.25336,                 0.0001,                 0.0001,                 0.0001
                     14,                0.84801,                0.80457,                0.28115,                0.41808,                0.48134,                0.42182,                 0.1434,                 0.0053,                0.18564,                0.62254,                0.87563,                0.24518,                 0.0001,                 0.0001,                 0.0001
                     15,                0.83193,                0.81956,                0.28005,                0.48903,                 0.4542,                0.42027,                0.13987,                0.00328,                0.18748,                0.63068,                0.85724,                0.23723,                 0.0001,                 0.0001,                 0.0001
                     16,                0.81613,                0.80459,                0.26688,                0.41349,                0.50286,                0.44307,                0.17589,                0.00953,                0.20851,                0.60073,                0.85078,                 0.2339,                 0.0001,                 0.0001,                 0.0001
                     17,                0.80377,                0.80147,                0.26263,                 0.5441,                0.45355,                0.45015,                0.15261,                 0.0057,                0.20151,                0.64224,                0.81886,                0.25878,                 0.0001,                 0.0001,                 0.0001
                     18,                0.81563,                0.77645,                0.26442,                0.57959,                0.52974,                0.53516,                0.22134,                0.01583,                0.26377,                0.58955,                0.77848,                0.23496,                 0.0001,                 0.0001,                 0.0001
                     19,                 0.8125,                0.76128,                0.25454,                0.58607,                0.50524,                0.53276,                0.21852,                0.00666,                0.25389,                0.59698,                0.76894,                0.22985,                 0.0001,                 0.0001,                 0.0001
