                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),       metrics/mAP75(B),       metrics/mAP90(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.3202,                 5.3765,                 3.7202,                0.71879,                0.04444,                0.03021,                  0.003,                  2e-05,                0.00877,                 3.0601,                 4.0746,                  3.231,             0.00047575,             0.00047575,             0.00047575
                      2,                 2.8303,                 3.3547,                 2.8645,                0.79008,                0.13778,                0.12073,                0.02272,                0.00174,                 0.0443,                 2.7656,                 3.5353,                 3.1237,             0.00094265,             0.00094265,             0.00094265
                      3,                 2.6688,                 2.7787,                  2.513,                0.24144,                0.24995,                0.14548,                0.03116,                0.00031,                0.05472,                 2.6296,                 2.9872,                 2.6789,              0.0014001,              0.0014001,              0.0014001
                      4,                 2.5663,                 2.6218,                 2.4184,                0.19238,                0.10919,                0.11051,                0.04446,                0.00042,                0.05308,                 2.7944,                  4.163,                 3.1779,              0.0013866,              0.0013866,              0.0013866
                      5,                 2.4809,                 2.5288,                 2.2922,                0.30242,                0.45935,                0.30327,                0.07957,                 0.0059,                0.12862,                 2.2311,                 2.0654,                 2.0951,              0.0013866,              0.0013866,              0.0013866
                      6,                 2.4145,                 2.4499,                 2.2251,                0.24016,                0.43461,                0.28478,                0.08319,                0.00023,                 0.1188,                 2.3221,                 2.2208,                 2.1744,              0.0013724,              0.0013724,              0.0013724
                      7,                 2.3535,                 2.3028,                 2.1546,                0.26056,                0.38472,                0.27218,                0.08428,                0.00288,                 0.1147,                  2.299,                 2.3678,                 2.1591,              0.0013583,              0.0013583,              0.0013583
                      8,                 2.2898,                 2.2734,                 2.1034,                0.33489,                0.37904,                0.34804,                 0.0995,                0.00149,                0.14209,                 2.2379,                 2.1521,                 2.0612,              0.0013441,              0.0013441,              0.0013441
                      9,                 2.2463,                 2.1833,                 2.0384,                0.31339,                0.39044,                0.31228,                0.06023,                0.00314,                0.12105,                  2.253,                 2.2202,                  2.064,                0.00133,                0.00133,                0.00133
                     10,                 2.2398,                 2.1906,                 2.0166,                 0.3002,                0.36067,                0.30954,                0.08729,                0.00152,                0.12093,                 2.2467,                  2.247,                 2.0786,              0.0013158,              0.0013158,              0.0013158
                     11,                 2.1969,                 2.1063,                  1.987,                0.33161,                0.41056,                0.32839,                0.10791,                0.00287,                0.14177,                 2.1849,                 2.2918,                 2.0251,              0.0013017,              0.0013017,              0.0013017
                     12,                 2.1806,                 2.1048,                  1.974,                0.38998,                0.45313,                0.42293,                0.13719,                0.00808,                0.18462,                 2.0826,                  1.886,                 1.9588,              0.0012875,              0.0012875,              0.0012875
                     13,                 2.1333,                 2.0255,                 1.9373,                0.33493,                0.46025,                0.37003,                0.07815,                0.00125,                0.13771,                 2.2066,                 1.9675,                 2.0214,              0.0012734,              0.0012734,              0.0012734
                     14,                 2.0898,                 1.9707,                 1.8869,                0.40974,                0.36578,                0.35996,                  0.099,                0.00532,                0.14526,                 2.2509,                 2.5355,                 2.0682,              0.0012592,              0.0012592,              0.0012592
                     15,                 2.0812,                 1.9549,                 1.8858,                0.45348,                0.55553,                0.51064,                0.15796,                 0.0042,                0.23213,                 1.9056,                 1.6421,                 1.7439,              0.0012451,              0.0012451,              0.0012451
                     16,                 2.0198,                 1.8862,                 1.8524,                0.38186,                0.46283,                0.42241,                0.09402,                0.00241,                0.16361,                 2.1494,                 1.9336,                 1.9405,              0.0012309,              0.0012309,              0.0012309
                     17,                 2.0457,                 1.8836,                 1.8523,                0.36758,                0.33582,                0.34211,                0.08675,                0.00203,                0.14056,                 2.2204,                 2.1849,                 2.0453,              0.0012168,              0.0012168,              0.0012168
                     18,                 2.0131,                 1.8686,                 1.8045,                0.72735,                0.28826,                0.32069,                0.12356,                0.00562,                 0.1458,                 2.3465,                 2.6625,                 2.2633,              0.0012026,              0.0012026,              0.0012026
                     19,                 2.0143,                 1.8618,                 1.8228,                0.52999,                0.53626,                 0.5493,                0.22942,                0.01275,                0.27449,                  1.804,                 1.5249,                 1.6862,              0.0011885,              0.0011885,              0.0011885
                     20,                 1.9757,                 1.8498,                 1.8183,                0.53483,                0.37169,                0.35777,                0.10483,                0.00548,                0.14963,                 2.2738,                 2.2311,                 2.0806,              0.0011744,              0.0011744,              0.0011744
                     21,                 1.9679,                 1.7835,                 1.7816,                0.38721,                0.33357,                0.32178,                0.12874,                0.00661,                 0.1512,                 2.2843,                 2.6444,                 2.2712,              0.0011602,              0.0011602,              0.0011602
                     22,                 1.9355,                 1.7592,                 1.7697,                0.50867,                0.54572,                0.54794,                 0.2985,                0.01079,                 0.2971,                 1.7979,                 1.5332,                 1.6652,              0.0011461,              0.0011461,              0.0011461
                     23,                 1.9381,                 1.7766,                 1.7638,                0.53863,                0.56936,                0.56232,                0.21696,                0.01361,                 0.2739,                 1.8437,                 1.5268,                 1.6925,              0.0011319,              0.0011319,              0.0011319
                     24,                 1.9268,                 1.7804,                 1.7588,                0.65351,                0.57154,                0.60768,                0.26172,                0.01173,                 0.3051,                 1.7826,                 1.4807,                 1.6526,              0.0011178,              0.0011178,              0.0011178
                     25,                  1.924,                  1.743,                 1.7558,                0.45098,                0.53463,                  0.528,                0.21007,                0.00593,                0.24424,                 1.9041,                 1.6673,                 1.7477,              0.0011036,              0.0011036,              0.0011036
                     26,                 1.8809,                 1.6962,                  1.715,                 0.6487,                0.57115,                0.63305,                0.29951,                0.00822,                0.32457,                 1.7791,                 1.4459,                 1.6334,              0.0010895,              0.0010895,              0.0010895
                     27,                 1.8784,                 1.6817,                 1.6941,                0.62883,                0.60524,                0.65193,                0.31095,                0.02802,                 0.3346,                 1.7828,                 1.4386,                 1.6383,              0.0010753,              0.0010753,              0.0010753
