                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),       metrics/mAP75(B),       metrics/mAP90(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  2.406,                 3.3097,                 2.0656,                0.29155,                0.37648,                0.22649,                0.03073,                0.00027,                0.07776,                 2.3925,                 2.3944,                 2.1122,             0.00047575,             0.00047575,             0.00047575
                      2,                 2.3211,                 2.4812,                 2.0637,                0.27705,                0.50737,                0.27577,                0.04883,                0.00035,                0.09636,                 2.2564,                 2.4088,                 2.0866,             0.00094265,             0.00094265,             0.00094265
                      3,                 2.2858,                 2.3663,                 2.0089,                0.32212,                0.46329,                0.29006,                0.07162,                0.00044,                0.11624,                 2.1464,                 2.4444,                 2.0218,              0.0014001,              0.0014001,              0.0014001
                      4,                 2.2434,                 2.3167,                 1.9822,                0.36218,                0.40453,                0.32621,                 0.0837,                0.00071,                0.12445,                  2.356,                  2.039,                 2.0863,              0.0013866,              0.0013866,              0.0013866
                      5,                 2.2121,                 2.2481,                 1.9257,                0.42059,                0.47172,                0.42548,                0.11919,                0.00788,                0.17482,                 2.0624,                 1.8802,                 1.8648,              0.0013866,              0.0013866,              0.0013866
                      6,                 2.1369,                 2.1351,                 1.8456,                0.46127,                0.56403,                 0.4721,                0.12251,                0.00227,                0.19519,                 2.0453,                 1.6926,                 1.8173,              0.0013724,              0.0013724,              0.0013724
                      7,                 2.0695,                 2.0063,                 1.8054,                  0.446,                0.58476,                0.49796,                0.16951,                0.00781,                0.22847,                 1.9498,                 1.6932,                 1.7452,              0.0013583,              0.0013583,              0.0013583
                      8,                 2.0364,                 1.9765,                 1.7823,                0.61625,                0.49626,                0.55669,                0.19618,                0.00691,                0.25334,                 1.9143,                 1.6087,                 1.6866,              0.0013441,              0.0013441,              0.0013441
                      9,                 1.9887,                 1.8776,                 1.7426,                0.39686,                 0.5366,                0.45014,                0.12495,                0.00714,                0.18978,                 2.0109,                 1.8923,                 1.8176,                0.00133,                0.00133,                0.00133
                     10,                 1.9792,                 1.9023,                 1.7274,                 0.4613,                0.48339,                0.44981,                0.14111,                0.01153,                0.19353,                 2.1339,                 1.7828,                 1.8998,              0.0013158,              0.0013158,              0.0013158
                     11,                  1.943,                  1.837,                 1.6986,                0.59646,                0.50792,                0.57431,                0.22525,                0.00814,                0.28113,                 1.8249,                 1.5185,                 1.6494,              0.0013017,              0.0013017,              0.0013017
                     12,                 1.9362,                 1.8149,                 1.6899,                 0.5919,                0.53428,                 0.5853,                0.22187,                0.01229,                0.27745,                 1.8157,                 1.5458,                 1.6555,              0.0012875,              0.0012875,              0.0012875
                     13,                 1.8962,                 1.7722,                 1.6604,                0.46433,                0.53102,                0.51304,                0.15605,                0.00275,                0.22202,                 1.9627,                 1.7283,                 1.7194,              0.0012734,              0.0012734,              0.0012734
                     14,                  1.869,                  1.746,                 1.6417,                0.77901,                 0.3453,                0.44135,                0.18266,                0.00411,                0.20865,                 2.1788,                 2.1837,                 1.8717,              0.0012592,              0.0012592,              0.0012592
                     15,                 1.8728,                 1.7161,                 1.6589,                0.68253,                0.52503,                 0.6134,                0.29172,                0.01861,                0.31836,                 1.7798,                  1.512,                 1.5955,              0.0012451,              0.0012451,              0.0012451
                     16,                 1.8287,                 1.6515,                 1.6332,                 0.6148,                0.59604,                0.65055,                0.31112,                0.02681,                0.34301,                 1.7185,                 1.3768,                 1.5676,              0.0012309,              0.0012309,              0.0012309
                     17,                 1.8322,                 1.6426,                 1.6107,                0.62768,                0.52665,                0.59562,                0.26267,                  0.025,                0.29768,                 1.8794,                 1.4325,                 1.6705,              0.0012168,              0.0012168,              0.0012168
                     18,                 1.8252,                 1.6478,                 1.5884,                0.66194,                0.62498,                0.66661,                0.27097,                0.01928,                0.33023,                 1.7499,                 1.3515,                  1.577,              0.0012026,              0.0012026,              0.0012026
                     19,                 1.8241,                 1.6336,                 1.6023,                0.56843,                0.49111,                 0.5353,                0.20642,                0.01395,                0.25393,                 1.9624,                 1.5389,                 1.7633,              0.0011885,              0.0011885,              0.0011885
                     20,                 1.7694,                 1.5812,                 1.5672,                0.57138,                0.50757,                0.56945,                0.25793,                0.01722,                0.27327,                 2.0132,                 1.5251,                 1.7685,              0.0011744,              0.0011744,              0.0011744
                     21,                 1.7629,                 1.5592,                 1.5618,                0.71218,                0.62543,                0.67821,                0.37231,                0.02872,                0.38091,                 1.6411,                 1.2634,                 1.4966,              0.0011602,              0.0011602,              0.0011602
                     22,                 1.7368,                  1.533,                 1.5534,                0.66618,                0.64096,                0.70279,                0.41981,                0.03529,                0.40432,                 1.5877,                 1.2174,                 1.4617,              0.0011461,              0.0011461,              0.0011461
                     23,                 1.7623,                 1.5377,                 1.5457,                0.69881,                0.64444,                0.70056,                 0.3654,                0.03298,                0.38059,                 1.6853,                 1.2444,                 1.5091,              0.0011319,              0.0011319,              0.0011319
                     24,                 1.7186,                 1.5233,                  1.522,                0.65786,                0.63121,                0.69232,                0.35967,                0.02964,                0.37709,                 1.6565,                 1.2621,                 1.4911,              0.0011178,              0.0011178,              0.0011178
                     25,                  1.712,                 1.4977,                 1.5295,                0.69919,                0.62526,                0.69725,                0.42274,                0.03274,                0.40704,                  1.595,                 1.2232,                 1.4691,              0.0011036,              0.0011036,              0.0011036
                     26,                 1.6977,                 1.4628,                  1.503,                0.70833,                0.63401,                0.70114,                 0.4259,                0.04962,                0.41369,                 1.5997,                 1.1646,                 1.4676,              0.0010895,              0.0010895,              0.0010895
                     27,                 1.6853,                 1.4559,                 1.4935,                 0.6523,                0.62008,                0.67683,                0.36335,                0.03289,                0.37586,                 1.6809,                 1.2475,                 1.5025,              0.0010753,              0.0010753,              0.0010753
                     28,                 1.6586,                 1.4391,                 1.4929,                0.76756,                0.64153,                0.71737,                0.45966,                0.03964,                0.41891,                 1.5645,                 1.1224,                  1.442,              0.0010612,              0.0010612,              0.0010612
                     29,                 1.6414,                 1.4136,                 1.4811,                 0.6799,                0.64995,                0.70459,                0.45391,                  0.034,                0.40917,                 1.5781,                 1.1792,                 1.4806,               0.001047,               0.001047,               0.001047
                     30,                 1.6391,                 1.4101,                 1.4761,                0.63046,                0.56536,                0.60413,                0.28217,                0.04402,                0.31201,                 1.9147,                 1.2942,                 1.7269,              0.0010329,              0.0010329,              0.0010329
                     31,                 1.6482,                 1.3853,                 1.4817,                0.74132,                0.64931,                 0.7192,                0.49043,                0.05776,                0.44364,                 1.5282,                  1.094,                 1.4139,              0.0010187,              0.0010187,              0.0010187
                     32,                 1.6257,                 1.3885,                 1.4554,                0.73854,                0.65359,                0.70434,                0.50461,                0.09123,                0.44277,                 1.4953,                 1.1235,                 1.3818,              0.0010046,              0.0010046,              0.0010046
                     33,                 1.5953,                 1.3417,                 1.4471,                0.76874,                0.66858,                0.73375,                0.51982,                0.09551,                0.46766,                 1.4489,                 1.0494,                 1.3621,             0.00099044,             0.00099044,             0.00099044
                     34,                 1.5955,                 1.3286,                 1.4424,                0.76131,                0.64003,                0.71192,                0.45515,                0.05424,                0.42503,                 1.5563,                 1.0785,                 1.4574,             0.00097629,             0.00097629,             0.00097629
                     35,                  1.581,                 1.3163,                 1.4381,                0.68465,                0.63282,                0.70679,                0.42088,                0.05835,                0.40701,                 1.5934,                 1.1355,                 1.4513,             0.00096215,             0.00096215,             0.00096215
                     36,                 1.5682,                 1.3137,                 1.4244,                 0.7472,                0.65779,                 0.7243,                 0.4958,                0.07681,                0.44878,                  1.464,                 1.0459,                 1.3698,               0.000948,               0.000948,               0.000948
                     37,                 1.5658,                 1.3291,                 1.4228,                0.73335,                0.66288,                 0.7281,                0.43989,                0.07686,                0.43538,                 1.5314,                 1.0801,                 1.4045,             0.00093385,             0.00093385,             0.00093385
                     38,                 1.5463,                 1.2753,                 1.4117,                0.80164,                0.68397,                0.74736,                0.51095,                 0.1115,                0.47277,                 1.4476,                 1.0115,                  1.366,              0.0009197,              0.0009197,              0.0009197
                     39,                 1.5332,                 1.2698,                 1.3961,                0.77562,                0.65759,                0.72989,                0.48538,                 0.0774,                0.44428,                 1.5199,                 1.0613,                 1.4041,             0.00090556,             0.00090556,             0.00090556
                     40,                 1.5152,                 1.2543,                 1.4005,                0.74455,                0.67262,                0.73219,                0.50207,                0.06124,                0.45128,                 1.4841,                 1.0348,                 1.3986,             0.00089141,             0.00089141,             0.00089141
                     41,                  1.516,                 1.2654,                 1.3826,                0.77155,                0.66881,                0.74232,                 0.5333,                0.12717,                0.47954,                 1.3843,                 1.0076,                 1.3109,             0.00087726,             0.00087726,             0.00087726
                     42,                 1.5053,                 1.2494,                 1.3858,                0.73616,                0.66029,                0.72951,                0.48143,                0.06969,                0.43777,                 1.5153,                 1.0656,                 1.4019,             0.00086312,             0.00086312,             0.00086312
                     43,                 1.5174,                 1.2618,                 1.3893,                0.75669,                0.67776,                0.73107,                0.50868,                 0.1004,                0.46324,                 1.4356,                 1.0302,                 1.3595,             0.00084897,             0.00084897,             0.00084897
                     44,                 1.4927,                 1.2308,                 1.3716,                0.78807,                0.69692,                0.75164,                0.54549,                0.16228,                0.50304,                 1.3608,                0.97375,                 1.3021,             0.00083482,             0.00083482,             0.00083482
                     45,                 1.4788,                  1.205,                 1.3685,                0.76003,                0.67556,                0.73656,                0.51517,                0.08934,                 0.4692,                 1.4273,                0.99613,                 1.3451,             0.00082067,             0.00082067,             0.00082067
                     46,                 1.4529,                 1.1901,                 1.3531,                0.76921,                0.66141,                  0.727,                0.49216,                0.08773,                0.44817,                 1.4725,                 1.0252,                   1.39,             0.00080653,             0.00080653,             0.00080653
                     47,                 1.4627,                 1.2143,                 1.3695,                0.75353,                 0.6874,                0.74203,                 0.5692,                 0.1103,                0.49069,                  1.366,                0.95704,                 1.3025,             0.00079238,             0.00079238,             0.00079238
                     48,                 1.4602,                 1.2083,                 1.3571,                0.81874,                0.69799,                0.76481,                0.55191,                0.10991,                0.49479,                 1.3617,                0.94341,                 1.2928,             0.00077823,             0.00077823,             0.00077823
                     49,                 1.4617,                 1.2046,                 1.3556,                0.79158,                0.69866,                0.76335,                0.53783,                0.10466,                0.48081,                 1.3876,                 0.9502,                 1.3083,             0.00076409,             0.00076409,             0.00076409
                     50,                 1.4048,                 1.1532,                 1.3226,                0.77623,                0.67939,                0.74719,                0.50252,                0.13662,                0.47154,                 1.4218,                0.98386,                 1.3585,             0.00074994,             0.00074994,             0.00074994
                     51,                 1.4083,                 1.1479,                 1.3205,                0.77622,                0.68375,                0.74877,                0.57382,                0.16155,                0.51363,                 1.2764,                0.92299,                 1.2574,             0.00073579,             0.00073579,             0.00073579
                     52,                  1.417,                 1.1515,                 1.3302,                0.80816,                0.68122,                   0.75,                0.56529,                0.15702,                0.49919,                 1.3478,                0.94204,                  1.301,             0.00072164,             0.00072164,             0.00072164
                     53,                 1.4124,                 1.1667,                 1.3278,                0.78285,                0.69096,                0.75123,                0.57803,                0.17073,                0.51403,                 1.2754,                0.91699,                 1.2557,              0.0007075,              0.0007075,              0.0007075
                     54,                 1.3835,                 1.1341,                 1.3198,                0.77188,                 0.6971,                0.75749,                0.55992,                0.14551,                 0.5011,                 1.3033,                0.92739,                 1.2677,             0.00069335,             0.00069335,             0.00069335
                     55,                 1.3789,                 1.1258,                 1.3074,                0.80426,                0.70241,                 0.7631,                0.58193,                0.20653,                0.52537,                 1.2503,                0.89287,                 1.2313,              0.0006792,              0.0006792,              0.0006792
                     56,                 1.3835,                  1.136,                 1.3208,                0.80259,                0.69335,                0.76412,                0.58098,                0.12627,                0.50517,                 1.3435,                0.91962,                  1.288,             0.00066506,             0.00066506,             0.00066506
                     57,                 1.3595,                 1.1071,                 1.2983,                0.79188,                0.71212,                0.76822,                0.57685,                0.12105,                0.50718,                 1.3166,                0.90188,                 1.2806,             0.00065091,             0.00065091,             0.00065091
                     58,                 1.3579,                 1.1045,                  1.299,                0.78637,                0.69286,                0.76374,                0.54997,                 0.1411,                0.49616,                 1.3459,                0.91445,                 1.2907,             0.00063676,             0.00063676,             0.00063676
                     59,                 1.3831,                 1.1254,                 1.3027,                0.80067,                0.69886,                0.76747,                0.58402,                0.18819,                0.52055,                 1.2875,                0.89818,                 1.2655,             0.00062262,             0.00062262,             0.00062262
                     60,                 1.3498,                 1.1074,                   1.29,                0.80189,                0.70102,                0.76233,                0.57926,                 0.2014,                 0.5246,                 1.2597,                 0.8908,                 1.2407,             0.00060847,             0.00060847,             0.00060847
                     61,                 1.3298,                 1.0839,                 1.2804,                0.78777,                0.70971,                0.76104,                 0.5687,                0.19435,                0.51007,                 1.3016,                0.90131,                 1.2652,             0.00059432,             0.00059432,             0.00059432
                     62,                 1.3166,                   1.09,                 1.2677,                0.79747,                0.70604,                0.75694,                0.55941,                0.17917,                0.51916,                 1.2425,                0.88907,                  1.225,             0.00058017,             0.00058017,             0.00058017
                     63,                 1.3114,                 1.0572,                 1.2662,                0.80769,                0.70052,                0.76969,                0.58053,                0.24538,                0.53991,                 1.2109,                0.85705,                 1.2147,             0.00056603,             0.00056603,             0.00056603
                     64,                  1.328,                 1.0819,                 1.2609,                0.77658,                0.71889,                0.76026,                0.58606,                0.17132,                0.52207,                  1.259,                0.89141,                 1.2515,             0.00055188,             0.00055188,             0.00055188
                     65,                 1.3238,                 1.0645,                 1.2593,                0.78214,                0.71501,                0.77007,                0.56972,                0.19691,                0.52548,                 1.2694,                0.87869,                 1.2449,             0.00053773,             0.00053773,             0.00053773
                     66,                 1.3013,                 1.0561,                 1.2436,                0.79159,                0.70694,                0.75952,                0.58077,                0.19861,                0.52809,                 1.2514,                0.87397,                 1.2401,             0.00052359,             0.00052359,             0.00052359
                     67,                 1.2916,                 1.0526,                 1.2501,                0.79409,                 0.7104,                0.76367,                0.60725,                0.25462,                0.54181,                 1.1883,                0.86112,                 1.1994,             0.00050944,             0.00050944,             0.00050944
                     68,                 1.2705,                  1.028,                 1.2466,                0.79636,                0.70288,                0.76847,                0.57587,                0.20722,                0.52617,                 1.2342,                0.87519,                 1.2365,             0.00049529,             0.00049529,             0.00049529
                     69,                 1.2788,                 1.0403,                 1.2486,                0.78989,                0.71487,                0.77405,                0.58632,                0.22413,                0.53847,                 1.2062,                0.85901,                 1.2128,             0.00048114,             0.00048114,             0.00048114
                     70,                  1.288,                 1.0595,                 1.2485,                0.80217,                0.71784,                0.77746,                 0.5932,                0.27034,                0.55103,                 1.1922,                 0.8396,                 1.2056,               0.000467,               0.000467,               0.000467
                     71,                 1.2707,                 1.0484,                  1.257,                0.79309,                0.71589,                0.77376,                0.58989,                0.27034,                0.54771,                 1.2034,                0.84143,                 1.2147,             0.00045285,             0.00045285,             0.00045285
                     72,                 1.2454,                0.99925,                 1.2292,                0.81406,                0.71476,                0.77156,                 0.5789,                 0.2476,                0.53867,                 1.2078,                0.84397,                 1.2048,              0.0004387,              0.0004387,              0.0004387
                     73,                 1.2512,                 1.0145,                 1.2304,                0.82757,                0.71312,                0.77592,                0.59718,                0.25372,                0.54662,                  1.181,                0.83534,                 1.1934,             0.00042456,             0.00042456,             0.00042456
                     74,                  1.263,                 1.0176,                 1.2409,                0.80801,                0.71848,                0.78089,                0.58171,                0.28308,                 0.5495,                  1.184,                0.83281,                 1.1976,             0.00041041,             0.00041041,             0.00041041
                     75,                 1.2186,                 1.0055,                 1.2099,                0.82489,                0.71465,                0.77856,                 0.5905,                0.30059,                0.55545,                 1.1496,                0.83232,                 1.1595,             0.00039626,             0.00039626,             0.00039626
                     76,                 1.2355,                0.99217,                 1.2267,                0.79876,                 0.7162,                0.77581,                0.58095,                0.27266,                0.54683,                 1.1991,                0.83426,                 1.1962,             0.00038211,             0.00038211,             0.00038211
                     77,                 1.2303,                 1.0112,                 1.2288,                0.79932,                 0.7266,                0.77319,                0.59557,                0.34595,                0.56332,                 1.1407,                0.82474,                 1.1659,             0.00036797,             0.00036797,             0.00036797
                     78,                 1.2379,                 1.0125,                 1.2156,                0.80645,                0.71648,                 0.7771,                0.58645,                 0.2814,                0.55403,                 1.1462,                 0.8178,                 1.1665,             0.00035382,             0.00035382,             0.00035382
                     79,                 1.2048,                0.98121,                 1.2076,                0.80813,                0.71853,                0.77548,                0.59642,                0.31398,                0.55553,                 1.1311,                0.82318,                 1.1574,             0.00033967,             0.00033967,             0.00033967
                     80,                 1.2073,                 1.0003,                 1.2082,                0.78354,                 0.7197,                0.77453,                0.59691,                0.30115,                 0.5583,                 1.1412,                0.81626,                 1.1676,             0.00032553,             0.00032553,             0.00032553
                     81,                 1.2131,                0.97975,                 1.2109,                 0.7891,                0.71952,                0.77244,                0.60504,                0.33368,                0.56516,                 1.1225,                0.81377,                 1.1593,             0.00031138,             0.00031138,             0.00031138
                     82,                  1.181,                0.95761,                 1.1915,                0.81956,                0.71861,                0.77689,                0.60746,                0.32522,                0.56362,                 1.1386,                0.81617,                  1.166,             0.00029723,             0.00029723,             0.00029723
                     83,                 1.1743,                0.93576,                 1.1887,                0.80293,                0.72818,                 0.7807,                0.60142,                0.33294,                 0.5684,                 1.1201,                0.80233,                 1.1581,             0.00028308,             0.00028308,             0.00028308
                     84,                 1.1602,                0.95125,                 1.1811,                0.79666,                0.72102,                0.77437,                0.59861,                0.31927,                0.56494,                  1.135,                0.81041,                 1.1677,             0.00026894,             0.00026894,             0.00026894
                     85,                 1.1685,                0.95959,                 1.1975,                0.81873,                0.72378,                0.77763,                0.60653,                0.28269,                0.55963,                 1.1458,                0.81112,                 1.1761,             0.00025479,             0.00025479,             0.00025479
                     86,                 1.1642,                0.94475,                 1.1818,                0.81319,                0.73028,                0.77977,                0.60535,                0.31839,                0.56451,                   1.13,                0.79564,                 1.1617,             0.00024064,             0.00024064,             0.00024064
                     87,                 1.1897,                0.95397,                 1.1822,                0.82767,                0.71758,                0.78397,                 0.5999,                    0.3,                0.56229,                  1.135,                0.79363,                 1.1733,              0.0002265,              0.0002265,              0.0002265
